Zasięg		Sekw.		Równ.		Sekw.+opt.	Równ.+opt.
1000000		0.0762		0.0739		0.0075		0.0717
2000000		0.1476		0.1413		0.0136		0.1367
3000000		0.2238		0.2138		0.0202		0.2073
4000000		0.2952		0.2881		0.0239		0.2793
5000000		0.3861		0.3625		0.0280		0.3514
6000000		0.4316		0.4343		0.0328		0.4217
7000000		0.5476		0.5133		0.0400		0.4988
8000000		0.6738		0.6010		0.0499		0.5813
