Zasięg		Sekw.		Równ.		Sekw.+opt.	Równ.+opt.
1000000		0.0698		0.0723		0.0064		0.0700
2000000		0.1361		0.1395		0.0126		0.1355
3000000		0.2008		0.2109		0.0195		0.2053
4000000		0.2748		0.2843		0.0247		0.2760
5000000		0.3375		0.3563		0.0266		0.3464
6000000		0.4161		0.4308		0.0331		0.4182
7000000		0.4896		0.5052		0.0379		0.4901
8000000		0.6117		0.5822		0.0463		0.5628
