Zasięg		Sekw.		Równ.		Sekw.+opt.	Równ.+opt.
1000000		0.0662		0.0810		0.0051		0.0697
2000000		0.1193		0.1382		0.0090		0.1349
3000000		0.1927		0.2095		0.0419		0.2043
4000000		0.2833		0.2801		0.0190		0.2730
5000000		0.2936		0.3520		0.0264		0.3430
6000000		0.3663		0.4237		0.0242		0.4135
7000000		0.4208		0.4953		0.0272		0.4831
8000000		0.5373		0.5667		0.0320		0.5526
