Zasięg		Sekw.		Równ.		Sekw.+opt.	Równ.+opt.
1000000		0.0673		0.0720		0.0084		0.0699
2000000		0.1303		0.1384		0.0084		0.1348
3000000		0.2073		0.2103		0.0240		0.2034
4000000		0.2563		0.2828		0.0232		0.2744
5000000		0.3180		0.3554		0.0233		0.3460
6000000		0.3893		0.4286		0.0289		0.4177
7000000		0.4359		0.5011		0.0339		0.4879
8000000		0.5128		0.5725		0.0403		0.5576
